"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC+7)","From","To","TokenValue","USDValueDayOfTx","ContractAddress","TokenName","TokenSymbol"
"0xa1ee4109f8354cef23e81be68369693b2058929a5e3e9134c5362bb3a9ace8cc","15985072","1751305783","2025-07-01 00:49:43","0x0e15b938699c3c0dc1784313f3ecd1f3d290cd1a","0x2cfc85d8e48f8eab294be644d9e25c3030863003","0.010305","N/A","0xd469fda5d9522a093760902e9be51e0c5d822d26","ERC-20: Human Unique Bridge","HUB"
"0x48c4e870ee8796c78ad3e215623f3631d7bd6649b0cc14087514db5ebf2fe87a","15999505","1751334649","2025-07-01 08:50:49","0x6b19071dde5d06abbb9ea5b2ac59af822c503fb0","0x2cfc85d8e48f8eab294be644d9e25c3030863003","0.162306","$0.15","0x2cfc85d8e48f8eab294be644d9e25c3030863003","Worldcoin","WLD"
"0x8c1a231dead64e01c0607f4f52fc34f68bb82f633151d0bbe8d69b0db6af1093","16000808","1751337255","2025-07-01 09:34:15","0x4b9edc93437a82db88b3693af24b999397c27e9c","0x2cfc85d8e48f8eab294be644d9e25c3030863003","0","N/A","0xed614608d8239c8faeb869fa3e275498b302e58a","ERC-20: LuckyAxo","LAXO"
"0xa7fe0e16040a4f62ffff1ae4eae626b8c262fdf487e3fa62e3d175e4b261e690","16002097","1751339833","2025-07-01 10:17:13","0x7695b365463a08110ab19c4a7b095d94e79c89b4","0x2cfc85d8e48f8eab294be644d9e25c3030863003","2.7","$2.44","0x2cfc85d8e48f8eab294be644d9e25c3030863003","Worldcoin","WLD"
"0x752b8cec42b68ce9b68437a1c909692c7959f312866dbf53050a82d503826bd2","16003650","1751342939","2025-07-01 11:08:59","0xab1c2d4408cb0f7d2d9425440ce5021ac0136217","0x2cfc85d8e48f8eab294be644d9e25c3030863003","2.741285","$2.47","0x2cfc85d8e48f8eab294be644d9e25c3030863003","Worldcoin","WLD"
"0xca08e5274f062211f7e9746fef80fbcdabe2d80eba096dc8697c4f8e1383e682","16013879","1751363397","2025-07-01 16:49:57","0x43222f934ea5c593a060a6d46772fdbdc2e2cff0","0x2cfc85d8e48f8eab294be644d9e25c3030863003","4.77769","$4.78","0x79a02482a880bce3f13e09da970dc34db4cd24d1","USDC","USDC"
"0x932139ad38025afcf0c810c2c42a78821008240f95e6b7b1b39e876893b8476b","16021877","1751379393","2025-07-01 21:16:33","0xf70b2abe51978798831de1cc32f2891adf158094","0x2cfc85d8e48f8eab294be644d9e25c3030863003","11.803134","$10.65","0x2cfc85d8e48f8eab294be644d9e25c3030863003","Worldcoin","WLD"
"0xb15e65c598300f7fe1493361ea27752355b7dc782db209efa3da29aec6a04d19","16030555","1751396749","2025-07-02 02:05:49","0x10d8c3636117f7e55e8a368b6dbca4ecdeb55f43","0x2cfc85d8e48f8eab294be644d9e25c3030863003","0.000002656671383681","N/A","0xcd1e32b86953d79a6ac58e813d2ea7a1790cab63","ERC-20: ORO","ORO"
"0x2fb2a52a38886f1178f913a5b32cdfbcd645c900647f511b2785321ada165c90","16037596","1751410831","2025-07-02 06:00:31","0xa8385f4c2369a947c1d05b58e31a53d850c8869f","0x2cfc85d8e48f8eab294be644d9e25c3030863003","227.5207157097295521","N/A","0xed49fe44fd4249a09843c2ba4bba7e50beca7113","DNAToken","DNA"
"0x1292b099a955f087596d74599986283b8b898168a3c96758321441d55fe6b5f0","16047139","1751429917","2025-07-02 11:18:37","0x43222f934ea5c593a060a6d46772fdbdc2e2cff0","0x2cfc85d8e48f8eab294be644d9e25c3030863003","2.73269","$2.33","0x2cfc85d8e48f8eab294be644d9e25c3030863003","Worldcoin","WLD"
